quality,num_images,mean_BER,recover_rate
10,100,0.49966667175292967,0.0
20,100,0.5056666946411132,0.0
30,100,0.5110000610351563,0.0
40,100,0.49866668701171873,0.0
50,100,0.5106666564941407,0.0
60,100,0.4926667022705078,0.0
70,100,0.49600002288818357,0.0
80,100,0.485,0.0
90,100,0.46066669464111326,0.0
