angle_deg,num_images,mean_BER,recover_rate
1,100,0.03733333587646484,0.51
2,100,0.06200000762939453,0.36
3,100,0.095,0.17
4,100,0.13200000762939454,0.08
5,100,0.16233333587646484,0.0
6,100,0.19400001525878907,0.0
7,100,0.22400001525878907,0.01
8,100,0.27266666412353513,0.0
9,100,0.31533336639404297,0.0
10,100,0.34900001525878904,0.0
