factor,num_images,mean_BER,recover_rate
0.6,100,0.007333333492279053,0.84
0.7,100,0.004333333373069763,0.88
0.8,100,0.0026666668057441713,0.94
0.9,100,0.0033333337306976317,0.94
1,100,0.004000000357627868,0.91
1.1,100,0.006666667461395263,0.88
1.2,100,0.015666667222976684,0.83
1.3,100,0.027333335876464845,0.7
1.4,100,0.034000000953674316,0.69
