factor,num_images,mean_BER,recover_rate
0.6,100,0.0026666668057441713,0.92
0.7,100,0.0013333334028720856,0.96
0.8,100,0.0013333334028720856,0.96
0.9,100,0.0016666668653488158,0.95
1,100,0.00366666704416275,0.91
1.1,100,0.006666667461395263,0.85
1.2,100,0.01566666841506958,0.77
1.3,100,0.02333333492279053,0.62
1.4,100,0.034000000953674316,0.62
