sigma,num_images,mean_BER,recover_rate
0,100,0.027333335876464845,0.68
1,100,0.4273333740234375,0.0
2,100,0.49800003051757813,0.0
3,100,0.4973333740234375,0.0
4,100,0.4926667022705078,0.0
5,100,0.49666671752929686,0.0
