payload_k,num_images,mean_psnr,mean_BER,recover_rate,embed_time_ms,decode_time_ms
5,100,35.385556640625,0.004000000059604645,0.98,6.638703346252441,2.7919769287109375
10,100,36.5715869140625,0.0020000000298023225,0.98,4.890565872192383,2.6957225799560547
15,100,36.70068359375,0.0006666667014360428,0.99,4.716610908508301,2.7969861030578613
20,100,36.98969482421875,0.0005000000074505806,0.99,4.7982096672058105,2.8186583518981934
25,100,37.36935546875,0.0,1.0,4.73541259765625,2.691621780395508
30,100,36.6250439453125,0.001000000089406967,0.97,4.695296287536621,2.6732945442199707
