payload_k,num_images,mean_psnr,mean_BER,recover_rate
5,100,35.448642578125,0.006000000238418579,0.97
10,100,36.5386767578125,0.0020000000298023225,0.98
15,100,36.73307373046875,0.0006666667014360428,0.99
20,100,37.19095703125,0.0010000000149011613,0.98
25,100,37.40428955078125,0.00039999999105930326,0.99
30,100,36.5646533203125,0.0,1.0
